status_code, message, timestamp
1, "The PRT is currently running on a normal schedule.", 2012/02/21 10:05:51
5, "Due to technical reasons our concourse display signs are not working however the PRT is running on a normal schedule", 2011/07/11 07:52:55
5, "The PRT is currently down at all stations to reboot computers estimated time in service is 10 minutes", 2010/09/18 10:40:54
1, "The PRT is currently running on a normal schedule.", 2010/08/30 06:01:05
5, "The PRT is Currenty Out of Service.", 2012/01/23 14:47:26
1, "The PRT is currently running on a normal schedule.", 2011/03/18 14:40:30
1, "The PRT is currently running on a normal schedule.", 2011/12/02 11:23:37
1, "The PRT is currently running on a normal schedule.", 2010/09/29 15:05:06
5, "the prt is down to Beech Sta  and Wal Sta", 2010/09/07 13:58:16
1, "The PRT is currently running on a normal schedule.", 2010/09/10 16:05:13
1, "The PRT is currently running on a normal schedule.", 2012/02/27 08:36:14
5, "The prt is out of service busses are picking up at the bottom of mtr sta at hos the crosswalk by the tennis courts at tow and at the turnarounds outside of eng and bee and at the cornere of walnut and chestnut streets outside of wal", 2011/01/19 11:45:38
2, "The PRT is currently down between Towers and Engineering.", 2011/01/12 12:17:09
6, "The PRT is currently down at the Walnut Street station.", 2012/01/11 10:33:21
1, "The PRT is currently running on a normal schedule.", 2011/02/22 14:59:04
2, "The PRT is currently down between Engineering and Beechurst.", 2011/01/27 10:44:50
6, "The PRT is currently down at the Health Sciences Center station.", 2010/09/16 23:18:39
1, "The PRT is currently running on a normal schedule.", 2012/02/03 11:53:33
5, "The PRT out of service between Hospital station to Beechurst station. Buses are operating between these stations", 2010/10/05 12:06:34
1, "The PRT is currently running on a normal schedule.", 2011/07/22 18:45:50
5, "PRT is closed at Health Sciences Center / busses are picking up at Towers Crosswalk by Tennis courts and dropping off at mount. station Med. center hill", 2010/09/18 11:39:03
2, "The PRT is currently down between Health Sciences Center and Walnut Street.", 2011/02/02 11:41:07
2, "The PRT is currently down between Engineering and Beechurst.", 2011/02/15 13:07:10
2, "The PRT is currently down between Engineering and Beechurst.", 2010/10/11 10:30:31
1, "The PRT is currently running on a normal schedule.", 2010/09/07 15:55:24
1, "The PRT is currently running on a normal schedule.", 2010/09/13 10:07:28
1, "The PRT is currently running on a normal schedule.", 2011/02/22 08:26:25
5, "The PRT is down at Health Sciences busses are picking up at Towers crosswalk by the tennis courts and below the Mountaineer Station", 2010/09/17 12:04:51
2, "The PRT is currently down between Towers and Beechurst.", 2011/01/27 11:15:40
4, "The PRT is currently down.", 2012/02/03 13:23:45
5, "The PRT is out of service at the Towers ENG HOS and BEE stations The busses will pick up at HOS STA at the bottom of Mountaineer STA the busses will pick up at the crosswalk by the tennis courts and at the turnarounds at BEE and ENG", 2010/10/06 07:59:29
5, "The prt is out of service @ hos tow eng and bee busses pick up @ the bottom of mtr sta outside of hos @ the crosswalk by the tennis courts outside of tow and @ the turnarounds outside of eng and bee", 2012/01/18 12:14:35
2, "The PRT is currently down between Engineering and Beechurst.", 2011/03/10 08:40:16
5, "prt is out of service between beechurst and engineering busses are running between those two stations.", 2011/07/23 09:33:55
2, "The PRT is currently down between Engineering and Beechurst.", 2010/09/18 16:11:02
1, "The PRT is currently running on a normal schedule.", 2012/02/14 07:13:30
5, "prt out of service all stations - busses picking up all stations", 2011/04/07 09:52:14
